REVIEW_YEAR,EFFECTIVE_DATE,PREMIUM_BEFORE,SUM_ASSURED_BEFORE,CRITICAL_ILLNESS_BEFORE,AGE_AT_REVIEW,OPTIMUM_PREMIUM_5Y,OPTIMUM_PREMIUM_10Y,BRANCH,REVIEW_OUTCOME,ASSIGNED_FLAG,ASTERISKED_ORPHAN,SINGLE,JOINT_LIFE_1ST,DUAL_LIFE,PRIMARY_AGENT_STATUS
30,25/07/2019,170.09,137196.0,No,58,383.69,540.07,Galway,Option 1 - 5 year increase,Y,N,N,Y,N,Inactive
30,29/07/2019,219.95,144704.0,No,68,296.24,442.12,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
31,29/06/2020,1865.2,84359.5,No,67,4911.55,6906.91,South Dublin,Lapsed Immediately,N,N,Y,N,N,Inactive
30,01/08/2019,125.7,50280.5,No,69,527.17,663.05,Galway South,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
30,06/08/2019,146.27,111801.0,No,72,390.38,638.31,East Gate,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,16/08/2019,329.28,39594.0,No,78,660.95,845.98,Moynalty,Lapsed Immediately,N,N,N,N,Y,Inactive
30,29/08/2019,59.54,39542.5,No,74,215.6,272.65,Moynalty,Lapsed Immediately,N,N,Y,N,N,Inactive
27,31/08/2016,189.64,71702.5,No,68,492.87,560.57,South Dublin,Option 3 - Maintain current premium and reduce benefits,N,N,N,Y,N,Inactive
30,02/09/2019,275.63,197974.0,Yes,65,300.42,412.46,East Gate,Option 1 - 5 year increase,Y,N,N,N,Y,Inactive
30,16/09/2019,35.0,75187.5,No,75,123.45,158.05,South Dublin,Lapsed Immediately,N,Y,N,N,Y,Inactive
30,23/09/2019,274.4,76853.5,No,65,774.01,1026.68,Moynalty,Lapsed Immediately,N,Y,N,Y,N,Inactive
30,25/09/2019,314.27,73863.5,No,76,766.19,974.99,Fermoy,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,06/11/2019,134.76,31118.5,No,74,348.36,447.53,Fermoy,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,11/11/2019,80.0,36747.0,No,68,154.4,208.28,Tralee,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,14/11/2019,643.24,53604.0,No,68,704.24,1333.3,Fermoy,Option 3a - Reduce Premium and Benefits,N,N,N,N,Y,Inactive
30,21/11/2019,164.62,80754.0,No,67,223.75,411.12,Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,22/11/2019,191.4,172845.0,No,57,193.31,271.99,Galway,Option 2 - 10 year increase,Y,N,N,N,Y,Inactive
30,22/11/2019,100.0,100835.0,No,65,134.34,199.66,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,25/11/2019,305.37,67382.0,No,69,469.37,643.36,Galway South,Option 1 - 5 year increase,N,Y,N,Y,N,Inactive
30,28/11/2019,502.87,84437.0,No,81,945.17,1334.57,Fermoy,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,29/11/2019,71.65,77169.0,No,65,123.16,187.06,Tralee,Option 1 - 5 year increase,Y,N,N,N,Y,Inactive
30,09/12/2019,255.27,131986.0,No,67,433.58,647.15,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,30/12/2019,50.0,27500.0,No,71,80.52,135.84,East Gate,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,13/12/2019,248.88,150083.0,No,74,527.3,738.96,Tralee,Option 3 - Maintain current premium and reduce benefits,N,N,Y,N,N,Active
30,18/12/2019,173.65,39396.0,Yes,58,188.91,266.64,Galway South,Option 1 - 5 year increase,N,Y,N,N,Y,Inactive
30,19/12/2019,95.19,25771.5,No,75,184.84,224.65,Tralee,Option 1 - 5 year increase,N,Y,N,N,Y,Inactive
30,20/12/2019,274.4,113752.0,No,66,316.36,502.76,South Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,02/12/2019,45.0,62747.0,No,68,119.4,148.49,Galway,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,02/01/2020,300.0,45606.0,No,77,374.38,501.67,Tralee,Option 3 - Maintain current premium and reduce benefits,N,Y,N,Y,N,Inactive
30,10/01/2020,147.75,137399.0,Yes,65,281.26,374.24,Dublin,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,30/01/2020,147.75,56927.0,No,67,203.07,303.2,Dublin,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,16/01/2020,164.62,84226.5,No,66,347.71,574.66,Tralee,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,20/01/2020,219.53,50532.5,No,78,789.73,1018.56,Moynalty,Lapsed Immediately,N,N,Y,N,N,Inactive
30,23/01/2020,157.48,65993.5,No,66,226.14,356.79,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,24/01/2020,240.92,184780.0,No,73,268.59,426.38,Cork,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,31/01/2020,782.78,50366.0,No,74,847.59,1195.91,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,31/01/2020,303.77,212907.5,Yes,59,427.72,578.83,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,17/02/2020,244.95,107496.5,No,60,510.98,709.29,Tralee,Option 1 - 5 year increase,N,N,N,Y,N,Active
30,21/02/2020,171.05,132528.0,No,63,184.41,303.59,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,24/02/2020,145.21,57715.5,No,74,273.0,350.24,Cork,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,27/02/2020,166.85,63814.0,No,65,301.32,391.9,Tralee,Option 3 - Maintain current premium and reduce benefits,N,Y,N,N,Y,Inactive
30,29/06/2020,5234.79,689762.0,Yes,55,12127.77,12420.04,Combine,Option 1 - 5 year increase,N,Y,Y,N,N,Inactive
30,02/03/2020,63.68,42000.0,Yes,63,78.94,160.97,Galway South,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,09/03/2020,151.27,21657.0,No,77,301.0,441.4,Galway,Lapsed Immediately,N,N,N,Y,N,Inactive
30,09/03/2020,200.03,74925.0,Yes,59,303.01,347.84,East Gate,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,09/03/2020,191.45,300983.0,Yes,58,262.02,355.0,Moynalty,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,16/03/2020,240.0,65645.5,No,68,345.85,460.26,Moynalty,Option 3 - Maintain current premium and reduce benefits,N,N,N,N,Y,Inactive
30,29/06/2020,9695.39,542921.5,Yes,61,11471.76,15251.24,Combine,Option 1 - 5 year increase,N,Y,Y,N,N,Inactive
30,16/03/2020,122.84,144385.5,No,61,157.18,304.5,Galway South,Option 1 - 5 year increase,N,Y,Y,N,N,Inactive
30,29/06/2020,5003.2,542921.5,Yes,59,8101.17,9418.58,Combine,Option 1 - 5 year increase,N,Y,Y,N,N,Inactive
30,20/04/2020,77.18,30106.5,No,75,101.03,160.16,Galway,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
30,20/04/2020,115.57,81027.5,No,66,233.82,309.16,Galway,Option 1 - 5 year increase,N,N,N,Y,N,Inactive
30,05/05/2020,90.0,39396.0,No,77,145.31,214.93,Combine,Option 1 - 5 year increase,Y,Y,N,N,Y,Inactive
30,05/05/2020,198.89,235831.0,No,64,261.83,423.46,Galway South,Option 3 - Maintain current premium and reduce benefits,N,Y,N,N,Y,Inactive
30,08/05/2020,1125.86,112237.0,No,70,2901.62,3762.82,Tralee,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,08/05/2020,175.57,32995.5,No,80,407.29,483.33,Galway South,Option 3 - Maintain current premium and reduce benefits,N,Y,N,N,Y,Inactive
30,11/05/2020,138.59,63614.5,No,71,218.7,333.61,Moynalty,Lapsed Immediately,N,Y,Y,N,N,Inactive
30,14/05/2020,127.63,102413.0,No,67,308.82,454.24,Moynalty,Option 1a - Other Premium Increase,N,N,Y,N,N,Inactive
30,18/05/2020,220.5,124397.0,No,70,239.58,360.2,Roscommon,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,21/05/2020,194.48,121542.0,No,68,516.78,738.48,Galway,Option 1 - 5 year increase,N,N,N,N,Y,Inactive
30,22/05/2020,231.53,60419.5,Yes,64,319.26,463.72,Moynalty,Lapsed Immediately,N,N,N,N,Y,Inactive
30,22/05/2020,68.0,49535.0,No,73,176.73,226.8,East Gate,Option 1 - 5 year increase,N,N,Y,N,N,Inactive
