"STATISTIC","Quarter","Age at Death","UNIT","VALUE"
"Deaths Registered Provisional","1960Q1","Under 1 Year","Number","507"
"Deaths Registered Provisional","1960Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1960Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1960Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1960Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1960Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1960Q1","1 to 4 Years","Number","94"
"Deaths Registered Provisional","1960Q1","5 to 14 Years","Number","73"
"Deaths Registered Provisional","1960Q1","15 to 24 Years","Number","56"
"Deaths Registered Provisional","1960Q1","25 to 34 Years","Number","100"
"Deaths Registered Provisional","1960Q1","35 to 44 Years","Number","220"
"Deaths Registered Provisional","1960Q1","45 to 54 Years","Number","541"
"Deaths Registered Provisional","1960Q1","55 to 64 Years","Number","1204"
"Deaths Registered Provisional","1960Q1","65 to 74 Years","Number","2117"
"Deaths Registered Provisional","1960Q1","75 Years and Over","Number","4487"
"Deaths Registered Provisional","1960Q2","Under 1 Year","Number","442"
"Deaths Registered Provisional","1960Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1960Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1960Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1960Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1960Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1960Q2","1 to 4 Years","Number","72"
"Deaths Registered Provisional","1960Q2","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1960Q2","15 to 24 Years","Number","61"
"Deaths Registered Provisional","1960Q2","25 to 34 Years","Number","95"
"Deaths Registered Provisional","1960Q2","35 to 44 Years","Number","182"
"Deaths Registered Provisional","1960Q2","45 to 54 Years","Number","496"
"Deaths Registered Provisional","1960Q2","55 to 64 Years","Number","1051"
"Deaths Registered Provisional","1960Q2","65 to 74 Years","Number","1877"
"Deaths Registered Provisional","1960Q2","75 Years and Over","Number","3545"
"Deaths Registered Provisional","1960Q3","Under 1 Year","Number","413"
"Deaths Registered Provisional","1960Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1960Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1960Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1960Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1960Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1960Q3","1 to 4 Years","Number","69"
"Deaths Registered Provisional","1960Q3","5 to 14 Years","Number","56"
"Deaths Registered Provisional","1960Q3","15 to 24 Years","Number","71"
"Deaths Registered Provisional","1960Q3","25 to 34 Years","Number","69"
"Deaths Registered Provisional","1960Q3","35 to 44 Years","Number","201"
"Deaths Registered Provisional","1960Q3","45 to 54 Years","Number","506"
"Deaths Registered Provisional","1960Q3","55 to 64 Years","Number","913"
"Deaths Registered Provisional","1960Q3","65 to 74 Years","Number","1690"
"Deaths Registered Provisional","1960Q3","75 Years and Over","Number","2962"
"Deaths Registered Provisional","1960Q4","Under 1 Year","Number","416"
"Deaths Registered Provisional","1960Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1960Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1960Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1960Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1960Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1960Q4","1 to 4 Years","Number","72"
"Deaths Registered Provisional","1960Q4","5 to 14 Years","Number","54"
"Deaths Registered Provisional","1960Q4","15 to 24 Years","Number","70"
"Deaths Registered Provisional","1960Q4","25 to 34 Years","Number","111"
"Deaths Registered Provisional","1960Q4","35 to 44 Years","Number","225"
"Deaths Registered Provisional","1960Q4","45 to 54 Years","Number","565"
"Deaths Registered Provisional","1960Q4","55 to 64 Years","Number","1068"
"Deaths Registered Provisional","1960Q4","65 to 74 Years","Number","2035"
"Deaths Registered Provisional","1960Q4","75 Years and Over","Number","3811"
"Deaths Registered Provisional","1961Q1","Under 1 Year","Number","513"
"Deaths Registered Provisional","1961Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q1","1 to 4 Years","Number","98"
"Deaths Registered Provisional","1961Q1","5 to 14 Years","Number","58"
"Deaths Registered Provisional","1961Q1","15 to 24 Years","Number","66"
"Deaths Registered Provisional","1961Q1","25 to 34 Years","Number","115"
"Deaths Registered Provisional","1961Q1","35 to 44 Years","Number","229"
"Deaths Registered Provisional","1961Q1","45 to 54 Years","Number","664"
"Deaths Registered Provisional","1961Q1","55 to 64 Years","Number","1403"
"Deaths Registered Provisional","1961Q1","65 to 74 Years","Number","2867"
"Deaths Registered Provisional","1961Q1","75 Years and Over","Number","5870"
"Deaths Registered Provisional","1961Q2","Under 1 Year","Number","471"
"Deaths Registered Provisional","1961Q2","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q2","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q2","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q2","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q2","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q2","1 to 4 Years","Number","83"
"Deaths Registered Provisional","1961Q2","5 to 14 Years","Number","59"
"Deaths Registered Provisional","1961Q2","15 to 24 Years","Number","54"
"Deaths Registered Provisional","1961Q2","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1961Q2","35 to 44 Years","Number","216"
"Deaths Registered Provisional","1961Q2","45 to 54 Years","Number","503"
"Deaths Registered Provisional","1961Q2","55 to 64 Years","Number","1064"
"Deaths Registered Provisional","1961Q2","65 to 74 Years","Number","2007"
"Deaths Registered Provisional","1961Q2","75 Years and Over","Number","3704"
"Deaths Registered Provisional","1961Q3","Under 1 Year","Number","443"
"Deaths Registered Provisional","1961Q3","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q3","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q3","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q3","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q3","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q3","1 to 4 Years","Number","52"
"Deaths Registered Provisional","1961Q3","5 to 14 Years","Number","69"
"Deaths Registered Provisional","1961Q3","15 to 24 Years","Number","63"
"Deaths Registered Provisional","1961Q3","25 to 34 Years","Number","81"
"Deaths Registered Provisional","1961Q3","35 to 44 Years","Number","191"
"Deaths Registered Provisional","1961Q3","45 to 54 Years","Number","460"
"Deaths Registered Provisional","1961Q3","55 to 64 Years","Number","892"
"Deaths Registered Provisional","1961Q3","65 to 74 Years","Number","1545"
"Deaths Registered Provisional","1961Q3","75 Years and Over","Number","2917"
"Deaths Registered Provisional","1961Q4","Under 1 Year","Number","406"
"Deaths Registered Provisional","1961Q4","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1961Q4","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1961Q4","Under 7 Days","Number",""
"Deaths Registered Provisional","1961Q4","1 to 7 Days","Number",""
"Deaths Registered Provisional","1961Q4","Under 1 Day","Number",""
"Deaths Registered Provisional","1961Q4","1 to 4 Years","Number","81"
"Deaths Registered Provisional","1961Q4","5 to 14 Years","Number","61"
"Deaths Registered Provisional","1961Q4","15 to 24 Years","Number","64"
"Deaths Registered Provisional","1961Q4","25 to 34 Years","Number","90"
"Deaths Registered Provisional","1961Q4","35 to 44 Years","Number","202"
"Deaths Registered Provisional","1961Q4","45 to 54 Years","Number","483"
"Deaths Registered Provisional","1961Q4","55 to 64 Years","Number","959"
"Deaths Registered Provisional","1961Q4","65 to 74 Years","Number","1943"
"Deaths Registered Provisional","1961Q4","75 Years and Over","Number","3422"
"Deaths Registered Provisional","1962Q1","Under 1 Year","Number","531"
"Deaths Registered Provisional","1962Q1","4 Weeks to 1 Year","Number",""
"Deaths Registered Provisional","1962Q1","1 Week to 4 Weeks","Number",""
"Deaths Registered Provisional","1962Q1","Under 7 Days","Number",""
"Deaths Registered Provisional","1962Q1","1 to 7 Days","Number",""
"Deaths Registered Provisional","1962Q1","Under 1 Day","Number",""
"Deaths Registered Provisional","1962Q1","1 to 4 Years","Number","78"
"Deaths Registered Provisional","1962Q1","5 to 14 Years","Number","57"
"Deaths Registered Provisional","1962Q1","15 to 24 Years","Number","54"
"Deaths Registered Provisional","1962Q1","25 to 34 Years","Number","95"
"Deaths Registered Provisional","1962Q1","35 to 44 Years","Number","216"
"Deaths Registered Provisional","1962Q1","45 to 54 Years","Number","595"
"Deaths Registered Provisional","1962Q1","55 to 64 Years","Number","1249"
